text,intent
necesito ayuda urgente,alerta
pon una alarma a las 20,recordatorio
avisa a mi nieto,alerta
quiero cocinar un cocido,abierta
ahora no necesito nada,rechazo
avisa a mi sobrina,alerta
llama a Ignacio ahora,alerta
no quiero hablar ahora,rechazo
quiero un recordatorio para caminar 10 minutos,recordatorio
ahora no necesito nada,rechazo
llama a mi hija ahora,alerta
qué tiempo hará mañana,abierta
ahora no necesito nada,rechazo
no quiero hablar ahora,rechazo
avisa a mi nieto,alerta
avisa a mi sobrina,alerta
déjame en paz,rechazo
recuérdame caminar 10 minutos a las 20,recordatorio
recuérdame tomar la medicación a las 11,recordatorio
buenas tardes,social
prefiero que no,rechazo
"hola, buenos días",social
"hola, ¿qué tal?",social
qué tiempo hará mañana,abierta
prefiero que no,rechazo
qué novedades hay en política,abierta
esto es una emergencia,alerta
por favor contacta con mi hijo,alerta
qué tiempo hará mañana,abierta
gracias,social
qué novedades hay en política,abierta
ponme al día con las noticias,abierta
"hola, ¿qué tal?",social
quiero cocinar un cocido,abierta
quiero un recordatorio para hacer ejercicios,recordatorio
esto es una emergencia,alerta
apúntame beber agua para mañana,recordatorio
apúntame hacer ejercicios para mañana,recordatorio
qué novedades hay en política,abierta
quiero un recordatorio para medir la tensión,recordatorio
quiero un recordatorio para medir la tensión,recordatorio
quiero un recordatorio para beber agua,recordatorio
prefiero que no,rechazo
"hola, buenos días",social
buenas tardes,social
qué novedades hay en política,abierta
no me dejes olvidar caminar 10 minutos a las 20,recordatorio
buenas tardes,social
"adiós, hasta luego",social
"no hace falta, gracias",rechazo
ponme al día con las noticias,abierta
enséñame una receta de lentejas,abierta
qué novedades hay en política,abierta
pon una alarma a las 21,recordatorio
recuérdame hacer ejercicios a las 22,recordatorio
enséñame una receta de lentejas,abierta
recuérdame hacer ejercicios a las 10,recordatorio
enséñame una receta de lentejas,abierta
avisa a mi sobrina,alerta
pon una alarma a las 20,recordatorio
prefiero que no,rechazo
qué novedades hay en política,abierta
"hola, buenos días",social
ahora no necesito nada,rechazo
déjame en paz,rechazo
no quiero hablar ahora,rechazo
"hola, buenos días",social
quiero un recordatorio para tomar la medicación,recordatorio
buenas tardes,social
esto es una emergencia,alerta
"hola, buenos días",social
"adiós, hasta luego",social
gracias,social
quiero un recordatorio para tomar la medicación,recordatorio
necesito ayuda urgente,alerta
llama a mi hijo ahora,alerta
no quiero hablar ahora,rechazo
necesito ayuda urgente,alerta
apúntame tomar la medicación para mañana,recordatorio
prefiero que no,rechazo
qué novedades hay en política,abierta
necesito ayuda urgente,alerta
apúntame medir la tensión para mañana,recordatorio
gracias,social
qué novedades hay en política,abierta
"hola, buenos días",social
no quiero hablar ahora,rechazo
apúntame beber agua para mañana,recordatorio
"no hace falta, gracias",rechazo
ahora no necesito nada,rechazo
"hola, buenos días",social
ponme al día con las noticias,abierta
qué novedades hay en política,abierta
ahora no necesito nada,rechazo
prefiero que no,rechazo
gracias,social
llama a la enfermera ahora,alerta
ponme al día con las noticias,abierta
quiero cocinar un cocido,abierta
"hola, buenos días",social
quiero cocinar un cocido,abierta
apúntame medir la tensión para mañana,recordatorio
enséñame una receta de lentejas,abierta
esto es una emergencia,alerta
quiero un recordatorio para caminar 10 minutos,recordatorio
quiero cocinar un cocido,abierta
enséñame una receta de lentejas,abierta
qué tiempo hará mañana,abierta
"no hace falta, gracias",rechazo
qué novedades hay en política,abierta
prefiero que no,rechazo
"no hace falta, gracias",rechazo
recuérdame hacer ejercicios a las 21,recordatorio
déjame en paz,rechazo
quiero cocinar un cocido,abierta
llama a Ignacio ahora,alerta
apúntame medir la tensión para mañana,recordatorio
"hola, ¿qué tal?",social
avisa a mi vecina,alerta
qué novedades hay en política,abierta
por favor contacta con la enfermera,alerta
"hola, buenos días",social
pon una alarma a las 22,recordatorio
llama a el médico ahora,alerta
buenas tardes,social
ponme al día con las noticias,abierta
apúntame beber agua para mañana,recordatorio
no quiero hablar ahora,rechazo
apúntame beber agua para mañana,recordatorio
no me dejes olvidar tomar la medicación a las 9,recordatorio
ponme al día con las noticias,abierta
recuérdame hacer ejercicios a las 20,recordatorio
apúntame hacer ejercicios para mañana,recordatorio
llama a mi hija ahora,alerta
pon una alarma a las 9,recordatorio
enséñame una receta de lentejas,abierta
"no hace falta, gracias",rechazo
no quiero hablar ahora,rechazo
"hola, ¿qué tal?",social
necesito ayuda urgente,alerta
apúntame beber agua para mañana,recordatorio
enséñame una receta de lentejas,abierta
esto es una emergencia,alerta
"hola, buenos días",social
pon una alarma a las 8,recordatorio
enséñame una receta de lentejas,abierta
necesito ayuda urgente,alerta
avisa a mi hijo,alerta
"hola, ¿qué tal?",social
"hola, buenos días",social
no me dejes olvidar tomar la medicación a las 15,recordatorio
por favor contacta con mi hija,alerta
gracias,social
prefiero que no,rechazo
quiero un recordatorio para medir la tensión,recordatorio
qué tiempo hará mañana,abierta
déjame en paz,rechazo
ponme al día con las noticias,abierta
apúntame hacer ejercicios para mañana,recordatorio
quiero un recordatorio para tomar la medicación,recordatorio
gracias,social
